timestamp,currentReplicas,desiredReplicas,currentCPUUtilizationPercent
2026-02-16T20:35:54+05:30,,0,
2026-02-16T20:36:00+05:30,,0,
2026-02-16T20:36:05+05:30,4,0,
2026-02-16T20:36:10+05:30,4,0,
2026-02-16T20:36:16+05:30,4,0,
2026-02-16T20:36:21+05:30,4,0,
2026-02-16T20:36:26+05:30,4,0,
2026-02-16T20:36:32+05:30,4,0,
2026-02-16T20:36:37+05:30,4,0,
2026-02-16T20:36:43+05:30,4,0,
2026-02-16T20:36:48+05:30,4,0,
2026-02-16T20:36:53+05:30,4,8,200
2026-02-16T20:36:59+05:30,4,8,200
2026-02-16T20:37:04+05:30,8,14,200
2026-02-16T20:37:10+05:30,8,14,200
2026-02-16T20:37:15+05:30,8,14,200
2026-02-16T20:37:20+05:30,14,14,200
2026-02-16T20:37:26+05:30,14,14,200
2026-02-16T20:37:31+05:30,14,14,200
2026-02-16T20:37:37+05:30,14,14,200
2026-02-16T20:37:42+05:30,14,14,200
2026-02-16T20:37:48+05:30,14,14,200
2026-02-16T20:37:53+05:30,14,14,200
2026-02-16T20:37:58+05:30,14,14,200
2026-02-16T20:38:04+05:30,14,14,200
2026-02-16T20:38:09+05:30,14,14,200
2026-02-16T20:38:15+05:30,14,14,200
2026-02-16T20:38:20+05:30,14,24,200
2026-02-16T20:38:26+05:30,14,24,200
2026-02-16T20:38:31+05:30,14,24,200
2026-02-16T20:38:37+05:30,24,24,200
2026-02-16T20:38:42+05:30,24,24,200
2026-02-16T20:38:48+05:30,24,24,200
2026-02-16T20:38:53+05:30,24,24,199
2026-02-16T20:38:59+05:30,24,24,199
2026-02-16T20:39:05+05:30,24,24,199
2026-02-16T20:39:10+05:30,24,24,199
2026-02-16T20:39:16+05:30,24,24,199
2026-02-16T20:39:22+05:30,24,24,200
2026-02-16T20:39:28+05:30,24,24,200
2026-02-16T20:39:33+05:30,24,24,200
2026-02-16T20:39:39+05:30,24,24,200
2026-02-16T20:39:45+05:30,24,24,200
2026-02-16T20:39:50+05:30,24,24,196
2026-02-16T20:39:56+05:30,24,24,196
2026-02-16T20:40:02+05:30,24,24,196
2026-02-16T20:40:07+05:30,24,24,196
2026-02-16T20:40:13+05:30,24,24,196
2026-02-16T20:40:18+05:30,24,24,200
2026-02-16T20:40:24+05:30,24,24,200
2026-02-16T20:40:30+05:30,24,24,200
2026-02-16T20:40:36+05:30,24,24,200
2026-02-16T20:40:41+05:30,24,24,200
2026-02-16T20:40:47+05:30,24,24,200
2026-02-16T20:40:52+05:30,24,24,199
2026-02-16T20:40:58+05:30,24,24,199
2026-02-16T20:41:03+05:30,24,24,199
2026-02-16T20:41:09+05:30,24,24,199
2026-02-16T20:41:14+05:30,24,24,199
2026-02-16T20:41:20+05:30,24,24,
2026-02-16T20:41:25+05:30,24,24,
2026-02-16T20:41:31+05:30,24,24,
2026-02-16T20:41:37+05:30,24,24,
2026-02-16T20:41:42+05:30,24,24,
2026-02-16T20:41:48+05:30,24,24,
2026-02-16T20:41:54+05:30,24,24,200
2026-02-16T20:42:00+05:30,24,24,200
2026-02-16T20:42:05+05:30,24,24,200
2026-02-16T20:42:11+05:30,24,24,200
2026-02-16T20:42:16+05:30,24,24,200
2026-02-16T20:42:22+05:30,24,24,199
2026-02-16T20:42:28+05:30,24,24,199
2026-02-16T20:42:33+05:30,24,24,199
2026-02-16T20:42:39+05:30,24,24,199
2026-02-16T20:42:44+05:30,24,24,199
2026-02-16T20:42:50+05:30,24,24,197
2026-02-16T20:42:55+05:30,24,24,197
2026-02-16T20:43:01+05:30,24,24,197
2026-02-16T20:43:06+05:30,24,24,197
2026-02-16T20:43:12+05:30,24,24,197
2026-02-16T20:43:18+05:30,24,24,197
2026-02-16T20:43:23+05:30,24,24,198
2026-02-16T20:43:29+05:30,24,24,198
2026-02-16T20:43:34+05:30,24,24,198
2026-02-16T20:43:40+05:30,24,24,198
2026-02-16T20:43:45+05:30,24,24,198
2026-02-16T20:43:51+05:30,24,24,200
2026-02-16T20:43:57+05:30,24,24,200
2026-02-16T20:44:02+05:30,24,24,200
2026-02-16T20:44:08+05:30,24,24,200
2026-02-16T20:44:14+05:30,24,24,200
2026-02-16T20:44:19+05:30,24,24,200
2026-02-16T20:44:24+05:30,24,24,200
2026-02-16T20:44:30+05:30,24,24,200
2026-02-16T20:44:35+05:30,24,24,200
2026-02-16T20:44:40+05:30,24,24,200
2026-02-16T20:44:46+05:30,24,24,200
2026-02-16T20:44:51+05:30,24,24,
2026-02-16T20:44:57+05:30,24,24,
2026-02-16T20:45:03+05:30,24,24,
2026-02-16T20:45:08+05:30,24,24,
2026-02-16T20:45:14+05:30,24,24,
2026-02-16T20:45:19+05:30,24,24,199
2026-02-16T20:45:25+05:30,24,24,199
2026-02-16T20:45:30+05:30,24,24,199
2026-02-16T20:45:36+05:30,24,24,199
2026-02-16T20:45:41+05:30,24,24,199
2026-02-16T20:45:47+05:30,24,24,199
2026-02-16T20:45:52+05:30,24,24,200
2026-02-16T20:45:58+05:30,24,24,200
2026-02-16T20:46:04+05:30,24,24,200
2026-02-16T20:46:10+05:30,24,24,200
2026-02-16T20:46:15+05:30,24,24,200
2026-02-16T20:46:21+05:30,24,24,197
2026-02-16T20:46:27+05:30,24,24,197
2026-02-16T20:46:32+05:30,24,24,197
2026-02-16T20:46:38+05:30,24,24,197
2026-02-16T20:46:43+05:30,24,24,197
2026-02-16T20:46:49+05:30,24,24,199
2026-02-16T20:46:54+05:30,24,24,199
2026-02-16T20:47:00+05:30,24,24,199
2026-02-16T20:47:06+05:30,24,24,199
2026-02-16T20:47:11+05:30,24,24,199
2026-02-16T20:47:17+05:30,24,24,199
2026-02-16T20:47:23+05:30,24,24,200
2026-02-16T20:47:28+05:30,24,24,200
2026-02-16T20:47:34+05:30,24,24,200
2026-02-16T20:47:39+05:30,24,24,200
2026-02-16T20:47:45+05:30,24,24,200
2026-02-16T20:47:50+05:30,24,24,
2026-02-16T20:47:55+05:30,24,24,
2026-02-16T20:48:00+05:30,24,24,
2026-02-16T20:48:06+05:30,24,24,
2026-02-16T20:48:11+05:30,24,24,
2026-02-16T20:48:16+05:30,24,24,
2026-02-16T20:48:22+05:30,24,24,
2026-02-16T20:48:27+05:30,24,24,
2026-02-16T20:48:33+05:30,24,24,
2026-02-16T20:48:38+05:30,24,24,
2026-02-16T20:48:44+05:30,24,24,
2026-02-16T20:48:49+05:30,24,24,200
2026-02-16T20:48:55+05:30,24,24,200
2026-02-16T20:49:00+05:30,24,24,200
2026-02-16T20:49:06+05:30,24,24,200
2026-02-16T20:49:11+05:30,24,24,200
2026-02-16T20:49:17+05:30,24,24,200
2026-02-16T20:49:24+05:30,24,24,200
2026-02-16T20:49:29+05:30,24,24,200
2026-02-16T20:49:35+05:30,24,24,200
2026-02-16T20:49:40+05:30,24,24,200
2026-02-16T20:49:46+05:30,24,24,200
2026-02-16T20:49:52+05:30,24,24,195
2026-02-16T20:49:57+05:30,24,24,195
2026-02-16T20:50:03+05:30,24,24,195
2026-02-16T20:50:08+05:30,24,24,195
2026-02-16T20:50:14+05:30,24,24,195
2026-02-16T20:50:19+05:30,24,24,200
2026-02-16T20:50:25+05:30,24,24,200
2026-02-16T20:50:31+05:30,24,24,200
2026-02-16T20:50:36+05:30,24,24,200
2026-02-16T20:50:42+05:30,24,24,200
2026-02-16T20:50:47+05:30,24,24,200
2026-02-16T20:50:53+05:30,24,24,200
2026-02-16T20:50:59+05:30,24,24,200
2026-02-16T20:51:04+05:30,24,24,200
2026-02-16T20:51:10+05:30,24,24,200
2026-02-16T20:51:15+05:30,24,24,200
2026-02-16T20:51:20+05:30,24,24,
2026-02-16T20:51:25+05:30,24,24,
2026-02-16T20:51:31+05:30,24,24,
2026-02-16T20:51:36+05:30,24,24,
2026-02-16T20:51:41+05:30,24,24,
2026-02-16T20:51:47+05:30,24,24,
2026-02-16T20:51:52+05:30,24,24,
2026-02-16T20:51:57+05:30,24,24,
2026-02-16T20:52:03+05:30,24,24,
2026-02-16T20:52:08+05:30,24,24,
2026-02-16T20:52:14+05:30,24,24,
2026-02-16T20:52:19+05:30,24,24,
2026-02-16T20:52:25+05:30,24,24,200
2026-02-16T20:52:30+05:30,24,24,200
2026-02-16T20:52:36+05:30,24,24,200
